title,subtitle,date,link,bullets
"Pipelined RISC-V Processors & RTL-to-GDS Flow","UMN ASIC Design & EDA Tools Club · Faculty Advisor: Prof. Yu (Kevin) Cao","2026 – Present","","Designing RV32I/RV64I 5-stage pipelined processors in Verilog/SystemVerilog; building an RTL-to-GDS flow with Synopsys Design Compiler and Cadence Innovus|Student-led tapeout collaboration with UC Berkeley Tapeout Decal, Cornell C2S2, and Georgia Tech Silicon Jackets"
"2×2 Systolic Array Matrix Multiplier","Full RTL-to-GDSII Flow · SkyWater 130 nm","2026","https://github.com/raghuavy/2x2_systolic_array_matrix_mult","Designed an output-stationary 2×2 systolic array in SystemVerilog (4 PEs, each with a MAC + local accumulator, operands rippling one hop/cycle); verified with a skewed-input testbench|Hardened through the full RTL-to-GDSII flow via OpenLane on SKY130 (Yosys → OpenROAD floorplan/place/CTS/route → Magic + KLayout signoff)|DRC-clean GDS, timing closed at 50 MHz (no setup/hold violations); ~388×378 µm die, verified by Magic/KLayout XOR"
"Sparse Matrix Hardware Accelerator","Hardware Acceleration Lab · Prof. Zhenman Fang","2026 – Present","","RTL/HLS design for sparse matrix × sparse matrix multiplication targeting AI/HPC workloads"
"Avionics Bay PCB & Flight State Estimator","UMN Rocket Team — GNC & Avionics","Sep 2024 – Present","","Designed 4-layer avionics backplane PCB in Altium (CAN bus + separate LoRa telemetry PCB); built a Simulink flight state estimator with embedded C generated for flight-computer deployment"
