title,subtitle,date,link,bullets
"Founder & President — UMN ASIC Club","University of Minnesota","2025 – Present","https://github.com/UMN-ASIC-CLUB","Founded undergraduate ASIC/EDA organization with Prof. Yu (Kevin) Cao and Minnesota Nano Center; leading student teams on RISC-V cores, accelerator design, RTL-to-GDS, tapeout, and EDA tool training|Secured $20,000 in departmental funding from the UMN ECE Department"
"Teaching Assistant — EE 2301: Digital Systems Design","University of Minnesota","Aug 2025 – Dec 2025","","Lead lab sections and office hours for ~30 students on Boolean logic, FSMs, Verilog, and Xilinx FPGA implementation"
